Protein,Charge Mean,Charge Std,Lipophilicity Mean,Lipophilicity Std,Polar Mean,Polar Std,Van der Wals Mean,Van der Wals Std,HB Acceptor Mean,HB Acceptor Std,HB Donor Mean,HB Donor Std,Dipole Moment,Lipole Moment,HBpole Moment,Mean Curvature,Min Curvature,Max Curvature,Mesh Points,Mesh Cells,Area,Volume,Convex Hull Area,Convex Hull Volume,Sphere Volume,Sphere Radius,Cylinder Volume,Cylinder Height,Elongation,Compactness,Bounding Box Volume,Radius of Gyration
12asA,0.0,0.0,-0.1982964258597628,0.2376440653933991,0.43840788040206136,0.44203117292823524,-0.06234850649439656,0.03719686555282131,-0.581902884083006,1.12737321359328,-0.9260862665582527,1.5622474784047973,10.0,5.838466660112585,0.5838888281474738,1.1063135419899544,-0.9649657188306051,5.597129699321512,372,613,219.475750719301,34.41322709583759,450.6004106758105,758.0253275873849,2257.2896695830013,8.137660392859589,1815.9935992079543,8.956231100945956,0.7824447663292418,0.8427961222014301,2182.7716934334426,5.9492445669845715
1a0iA,0.0,0.0,-0.2685168878448591,0.3045417609031222,0.5237367548022821,0.447936893637481,-0.06958748471487602,0.04690789233857425,-0.6332313733258731,1.1641404994888775,-1.1877261112711186,1.7025047466179142,10.0,3.358788156185541,4.25504075478844,0.943672317998455,-0.9457218596166292,5.0813225842842895,263,447,152.50476327302422,-14.814953676688436,317.25867655488105,430.0375525253552,1545.56596885451,7.172429901620488,1036.5536464736983,13.848056876803685,0.7643959849294945,0.8093051534211655,1430.4285873431234,4.887386887328244
1a49A,0.0,0.0,-0.20330450781092138,0.33220100079714127,0.6636915956598973,0.4988707353933368,-0.05313519607628807,0.03747629762410826,-0.24374837048613074,1.0154722119534236,-2.017837820186215,1.844241022579198,10.0,4.172975563611388,2.2196821083885303,0.9969629823200081,-3.289741070792319,5.6007598099510725,271,456,170.50269827070025,343.6386290449343,337.0023771593059,480.5313657305845,1345.396090362481,6.848369493438806,1142.7954521364236,11.549445182129823,0.950146328625145,0.8260350601898981,1477.0827656913577,5.040030987656494
1a6qA,0.0,0.0,-0.4006897967450504,0.19538392832073243,0.8425489278042902,0.4163893699429662,-0.0562367975576969,0.022069239989215308,0.0,0.0,-2.6397776669900708,1.777207193759412,10.0,10.0,10.0,1.029142421003553,-0.17936903122728953,4.366759501522438,58,97,33.779663873950874,-263.4913996687004,47.413046234032095,26.395602083209003,82.82239264175364,2.704081152330102,40.39989888398076,5.348873921963945,0.7649624991180694,0.8598267864869097,75.90889945147627,1.8542121658366535
1amuA,0.0,0.0,-0.20698787989077877,0.2736977849536471,0.456498421255656,0.4618366776582916,-0.07222003544565066,0.045198711308757314,-0.6984673166109578,1.1674028996875372,-0.8662341761531608,1.5648409033887412,10.0,2.4350274466863917,4.09547393164107,0.8726646259971649,-1.9168418442069335,5.4542251815215295,252,434,156.14935503657702,-1193.4747486431688,289.5870045840114,306.2758593608162,2183.4771571152314,8.047976158924975,842.2873889065177,4.300297719708354,0.5753539311363085,0.6609526539752311,1303.6013809551127,4.391636493124638
1aylA,0.04665317478984535,0.17768504091713916,-0.10197240269386777,0.2490539026061586,0.5105766337630796,0.3132015493161624,-0.040791662573423336,0.029383341692121364,-0.39352165620377233,0.942589484550327,-1.3690601738365127,1.2609256245685976,3.491883519756872,1.2162550423817855,5.143006887759742,1.1608230919422697,-1.5004514508647153,5.517801606604208,341,556,186.90083486888898,625.1683566345587,413.9595375269747,647.7375161578913,2648.0513919605287,8.582476047301066,1207.0615467035343,16.24936871211748,0.7504092274845412,0.8178777596518318,1893.9001111059922,5.156266482045846
1b8aA,0.0,0.0,-0.14475414095076142,0.2789414982773882,0.3982895040059798,0.4242045004844556,-0.06110499920781667,0.04113467305162725,-0.5466440646506597,1.0898396343651906,-0.8095791958866885,1.4537031413103165,10.0,2.3044806335028603,2.128822089446464,0.9496177793805511,-6.018150146103192,5.344255562686755,440,747,275.45752104175807,153.22273851185747,475.6972239555295,813.4231717383577,2518.1575065812362,8.43978585397631,1788.934440694706,15.412243448635095,0.8832885163653569,0.8337710298614728,2015.4564645284827,5.919651280016275
1b8oA,0.0,0.0,-0.0541920811733902,0.22429909739697657,0.3953400229703732,0.4525124195169132,-0.05051031328899291,0.027518205248853424,-0.22252073563066588,0.758127056477602,-1.0942041434076517,1.5997061481415435,10.0,2.3605126680762383,3.1351431926124254,1.0817748288304476,-1.236449763376708,5.370206486398537,212,351,119.6793404886549,718.7123656869204,209.77432497569754,246.89301475264395,510.1853050107101,4.956933721167734,487.2925783993024,8.1834342609379,0.7429059235309178,0.8641845369450011,564.1495193249359,4.058304984601113
1bdgA,0.0,0.0,-0.1743806705190311,0.20363352176402003,0.36942860626282653,0.3872783612185516,-0.058452948339111445,0.032429046783704236,-0.8212513152793104,1.2248018346964884,-0.5801168934727596,1.2691649898589974,10.0,10.0,1.513637993906907,1.056984444198435,-2.2066937113107787,5.541608175183172,321,534,187.9305367023956,230.2863532971218,296.4071252394432,433.2566297183912,884.5591970731695,5.9549679856041235,915.4432576087437,10.443458144383719,0.8256977877392498,0.9028974881261438,1073.9788415519338,4.030871973135641
1brwA,0.0,0.0,-0.18677048118388664,0.30957930717486437,0.4842306940484403,0.4616415810348188,-0.05556136395404449,0.03697264221427914,-0.29127128945225284,0.853678058592456,-1.4308626468623147,1.682575251465725,10.0,0.10382515399627408,3.118981998164947,1.1565203724753634,-1.2441577138478488,5.373950228364845,182,297,108.05840204609038,-991.6224164856719,193.56217878914316,218.08788167846302,506.49979189372135,4.9449687794985575,467.8561721715665,9.27734446519538,0.8476849710818329,0.8612455042283969,578.3697199593234,4.018344958230866
1c0aA,0.0,0.0,-0.13603355805366837,0.4119965117520671,0.3644150016105995,0.5276630406817743,-0.08089541359517004,0.08135945176217155,-0.26752049682147055,1.1002665424275524,-0.6489497520401418,1.4855218041203773,10.0,0.6442593784770207,1.978157074104512,0.9127600277321696,-0.6388484498985036,4.657550884014714,148,253,98.29915707415444,694.9136995968272,183.70568667868955,165.98291716808527,1516.5573634198324,7.1272732751934,372.7729906524557,14.008727450839821,0.3256864486676245,0.7089337944895885,377.7602004444359,3.900509190752383
